region,zone,reported_woreda,suggested_ref_woreda,score,approved_ref_woreda
Dire Dawa,NA,Addis ketema PHCU,Addis Ketema (DD),0.76,
Dire Dawa,NA,Biyoawale PHCU,Biyoawale,0.64,
Dire Dawa,NA,Boren /Industry/ PHCU,Gende Kore,0.21,
Dire Dawa,NA,Dechatu PHCU,Dechatu,0.58,
Dire Dawa,NA,Dire Dawa PHCU,Dechatu,0.29,
Dire Dawa,NA,Dr Abel MM (Gende kore )PHCU,Gende Kore,0.38,
Dire Dawa,NA,Gende Gerada PHCU,Gende Kore,0.41,
Dire Dawa,NA,Gende kore PHCU,Gende Kore,0.67,
Dire Dawa,NA,Goro PHCU,Gende Kore,0.2,
Dire Dawa,NA,Jeldesa /Qelad/ PHCU,Jeldessa,0.39,
Dire Dawa,NA,Jelo Belina PHCU,Jeldessa,0.31,
Dire Dawa,NA,Kalich PHCU,Police Maret,0.33,
Dire Dawa,NA,Legehare PHCU,Legehare,0.62,
Dire Dawa,NA,Legoda gudenfeta PHCU,Legehare,0.24,
Dire Dawa,NA,Melka Jebdu PHCU,Malka Jabti /M.Jebdu),0.47,
Dire Dawa,NA,Melka kero PHCU,Malka Jabti /M.Jebdu),0.37,
Dire Dawa,NA,Wahil PHCU,Wahil,0.5,
Oromia,Shagger City,Shagger City,Bishan Guracha,0.36,
Tigray,NA,Adigudom Town,Adigrat town,0.69,
Tigray,NA,E/selassie Town,Indasilassie town,0.71,
Tigray,NA,Endabatshama,Endabaguna town,0.47,
Tigray,NA,Kedamay Woyane,Tahtay Koraro,0.36,
Tigray,NA,Kleate Awlaelo,Kelete Awelallo,0.73,
Tigray,NA,Laelay Tselemti,Tselemti,0.53,
Tigray,NA,Maekel Adiyabo,Tahtay Adiyabo,0.64,
Tigray,NA,Maiknetal,Hintalo,0.44,
Tigray,NA,Mytsebri,May Tsebri town,0.53,
Tigray,NA,Rama adi-4,Raya Azebo,0.5,
Tigray,Northwest,Shire Town,Sheraro town,0.67,
Tigray,NA,Subha Sasea,Ahsea,0.36,
Tigray,NA,Tsrea Wenberta,Tsaeda Emba,0.5,
Tigray,Central,Chilla,Chila,0.83,Chila
Tigray,NA,Endamakhoni,Endamehoni,0.82,Endamehoni
Tigray,NA,Keyih Tekli,Keyhe tekli,0.82,Keyhe tekli
Tigray,NA,Tahatay Maichew,Tahtay Mayechew,0.8,Tahtay Mayechew
