indicator,label,end,woreda,region,value_pct,num_sum,denom_sum
CB_EVENTS,Case-based reporting: selected events/conditions,top 5,Gura Damole,Oromia,100,5,5
CB_EVENTS,Case-based reporting: selected events/conditions,top 5,Homosha,Benishangul Gumz,100,8,8
CB_EVENTS,Case-based reporting: selected events/conditions,top 5,Dire Teyara,Harari,100,44,44
CB_EVENTS,Case-based reporting: selected events/conditions,top 5,Akaki Kality,Addis Ababa,100,37,37
CB_EVENTS,Case-based reporting: selected events/conditions,top 5,Nifas Silk Lafto,Addis Ababa,100,89,89
CB_EVENTS,Case-based reporting: selected events/conditions,bottom 5,Goro (Bale),Oromia,8.771929824561404,5,57
CB_EVENTS,Case-based reporting: selected events/conditions,bottom 5,Chiro Zuria,Oromia,0,0,26
CB_EVENTS,Case-based reporting: selected events/conditions,bottom 5,Gelana (West Guji),Oromia,0,0,178
CB_EVENTS,Case-based reporting: selected events/conditions,bottom 5,Dangur,Benishangul Gumz,0,0,4
CB_EVENTS,Case-based reporting: selected events/conditions,bottom 5,Loka Abaya,Sidama,0,0,4
DHIS2_RPT,Districts reporting weekly via DHIS2,top 5,Kore,Oromia,100,3,3
DHIS2_RPT,Districts reporting weekly via DHIS2,top 5,Erebti,Afar,69.23076923076923,9,13
DHIS2_RPT,Districts reporting weekly via DHIS2,top 5,Shinile,Somali,50,2,4
DHIS2_RPT,Districts reporting weekly via DHIS2,top 5,Afdem,Somali,50,3,6
DHIS2_RPT,Districts reporting weekly via DHIS2,top 5,Gota-Biki,Somali,50,2,4
DHIS2_RPT,Districts reporting weekly via DHIS2,bottom 5,Kori,Afar,0,0,9
DHIS2_RPT,Districts reporting weekly via DHIS2,bottom 5,Kunneba,Afar,0,0,16
DHIS2_RPT,Districts reporting weekly via DHIS2,bottom 5,Berahile,Afar,0,0,20
DHIS2_RPT,Districts reporting weekly via DHIS2,bottom 5,Dalol,Afar,0,0,14
DHIS2_RPT,Districts reporting weekly via DHIS2,bottom 5,Abaala town,Afar,0,0,6
EPRP_PLAN,Districts with EPRP (preparedness & response) plans,top 5,Kore,Oromia,100,3,3
EPRP_PLAN,Districts with EPRP (preparedness & response) plans,top 5,Akaki Kality,Addis Ababa,100,12,12
EPRP_PLAN,Districts with EPRP (preparedness & response) plans,top 5,Nifas Silk Lafto,Addis Ababa,100,13,13
EPRP_PLAN,Districts with EPRP (preparedness & response) plans,top 5,Kolfe Keraniyo,Addis Ababa,100,10,10
EPRP_PLAN,Districts with EPRP (preparedness & response) plans,top 5,Bole,Addis Ababa,100,11,11
LAB_7D,Outbreaks with laboratory results within 7 days,top 5,Nifas Silk Lafto,Addis Ababa,100,6,6
LAB_7D,Outbreaks with laboratory results within 7 days,top 5,Bole,Addis Ababa,100,12,12
LAB_7D,Outbreaks with laboratory results within 7 days,top 5,Kirkos,Addis Ababa,100,9,9
LAB_7D,Outbreaks with laboratory results within 7 days,top 5,Gulele,Addis Ababa,100,4,4
NOTIFY_24H,Suspected outbreaks notified within 24 hours,top 5,Basketo SP Woreda,Southern Ethiopi,33.333333333333336,1,3
NOTIFY_24H,Suspected outbreaks notified within 24 hours,top 5,Kore,Oromia,0,0,3
RESP_2448,Confirmed outbreaks with response within 24-48 hours,top 5,Nifas Silk Lafto,Addis Ababa,0,0,6
RESP_2448,Confirmed outbreaks with response within 24-48 hours,top 5,Bole,Addis Ababa,0,0,12
RESP_2448,Confirmed outbreaks with response within 24-48 hours,top 5,Kirkos,Addis Ababa,0,0,9
RESP_2448,Confirmed outbreaks with response within 24-48 hours,top 5,Gulele,Addis Ababa,0,0,4
RPT_COMPLETE,Surveillance reports submitted completely (completeness),top 5,May Tsebri town,Tigray,100,9,9
RPT_COMPLETE,Surveillance reports submitted completely (completeness),top 5,Kafta Humera,Tigray,100,34,34
RPT_COMPLETE,Surveillance reports submitted completely (completeness),top 5,Dansha town,Tigray,100,10,10
RPT_COMPLETE,Surveillance reports submitted completely (completeness),top 5,Dubti,Afar,100,25,25
RPT_COMPLETE,Surveillance reports submitted completely (completeness),top 5,Asayita,Afar,100,25,25
