region,indicator,label,value_pct,target,gap,status,pct_reported
Addis Ababa,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),0,80,-80,below target,100
Afar,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,80,NA,NA,100
Amhara,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,80,NA,NA,0
Benishangul Gumuz,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),100,80,20,meets target,100
Dire Dawa,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,80,NA,NA,100
Gambella,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),0,80,-80,below target,100
Harari,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,80,NA,NA,100
Oromia,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,80,NA,NA,100
Sidama,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,80,NA,NA,100
Somali,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,80,NA,NA,100
South Ethiopia,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),5.882352941176471,80,-74.1,below target,100
Addis Ababa,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,80,NA,NA,100
Afar,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,80,NA,NA,100
Amhara,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,80,NA,NA,0
Benishangul Gumuz,EBS_DETECT,Outbreaks detected through event-based surveillance,100,80,20,meets target,100
Dire Dawa,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,80,NA,NA,100
Gambella,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,80,NA,NA,100
Harari,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,80,NA,NA,100
Oromia,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,80,NA,NA,100
Sidama,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,80,NA,NA,100
Somali,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,80,NA,NA,100
South Ethiopia,EBS_DETECT,Outbreaks detected through event-based surveillance,20,80,-60,below target,100
Addis Ababa,DETECT_7D,Outbreaks detected within 7 days,NA,80,NA,NA,100
Afar,DETECT_7D,Outbreaks detected within 7 days,NA,80,NA,NA,100
Amhara,DETECT_7D,Outbreaks detected within 7 days,NA,80,NA,NA,0
Benishangul Gumuz,DETECT_7D,Outbreaks detected within 7 days,100,80,20,meets target,100
Dire Dawa,DETECT_7D,Outbreaks detected within 7 days,100,80,20,meets target,100
Gambella,DETECT_7D,Outbreaks detected within 7 days,NA,80,NA,NA,100
Harari,DETECT_7D,Outbreaks detected within 7 days,NA,80,NA,NA,100
Oromia,DETECT_7D,Outbreaks detected within 7 days,87.5,80,7.5,meets target,100
Sidama,DETECT_7D,Outbreaks detected within 7 days,100,80,20,meets target,100
Somali,DETECT_7D,Outbreaks detected within 7 days,NA,80,NA,NA,100
South Ethiopia,DETECT_7D,Outbreaks detected within 7 days,80,80,0,meets target,100
Addis Ababa,RPT_TIMELY,Surveillance reports submitted on time (timeliness),100,80,20,meets target,100
Afar,RPT_TIMELY,Surveillance reports submitted on time (timeliness),85,80,5,meets target,100
Amhara,RPT_TIMELY,Surveillance reports submitted on time (timeliness),91.3585236074628,80,11.4,meets target,100
Benishangul Gumuz,RPT_TIMELY,Surveillance reports submitted on time (timeliness),93.21739130434784,80,13.2,meets target,100
Dire Dawa,RPT_TIMELY,Surveillance reports submitted on time (timeliness),100,80,20,meets target,100
Gambella,RPT_TIMELY,Surveillance reports submitted on time (timeliness),83.71428571428571,80,3.7,meets target,100
Harari,RPT_TIMELY,Surveillance reports submitted on time (timeliness),100,80,20,meets target,100
Oromia,RPT_TIMELY,Surveillance reports submitted on time (timeliness),97.77777777777776,80,17.8,meets target,100
Sidama,RPT_TIMELY,Surveillance reports submitted on time (timeliness),98.07692307692308,80,18.1,meets target,100
Somali,RPT_TIMELY,Surveillance reports submitted on time (timeliness),69.8019801980198,80,-10.2,below target,100
