region,period,indicator,group,label,value_type,n_woreda,n_reported,n_pairs,num_sum,denom_sum,pct_reported,value_pct,value_pct_capped
NATIONAL,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,696,475,32,5,64,68.2,7.8125,7.8125
NATIONAL,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,696,475,7,5,9,68.2,55.55555555555556,55.55555555555556
NATIONAL,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,696,475,33,37,40,68.2,92.5,92.5
NATIONAL,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,696,696,677,9978.333333333334,10741,100,92.89948173664774,92.89948173664774
NATIONAL,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,688,688,679,10170.333333333334,10743,100,94.66939712681126,94.66939712681126
NATIONAL,2025-Wk28-52,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,696,475,106,2245,2454,68.2,91.48329258353708,91.48329258353708
NATIONAL,2025-Wk28-52,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,696,475,140,1439,2250,68.2,63.95555555555555,63.95555555555555
NATIONAL,2025-Wk28-52,NOTIFY_24H,Reporting,Suspected outbreaks notified within 24 hours,proportion,696,467,110,16,113,67.1,14.15929203539823,14.15929203539823
NATIONAL,2025-Wk28-52,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,696,467,80,19,241,67.1,7.8838174273858925,7.8838174273858925
NATIONAL,2025-Wk28-52,LINEGRAPH,Analysis,Current line graph available for priority diseases,proportion,696,457,449,257,457,65.7,56.2363238512035,56.2363238512035
NATIONAL,2025-Wk28-52,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,696,475,449,18,457,68.2,3.938730853391685,3.938730853391685
NATIONAL,2025-Wk28-52,LAB_7D,Laboratory,Outbreaks with laboratory results within 7 days,proportion,696,449,39,41,45,64.5,91.11111111111111,91.11111111111111
NATIONAL,2025-Wk28-52,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,696,467,39,9,45,67.1,20,20
NATIONAL,2025-Wk28-52,ATTACK_RATE,Response,Attack rate per outbreak (per population at risk),rate,475,457,263,990,19428827.373202085,96.2,5.0955211088317835e-5,5.0955211088317835e-5
NATIONAL,2025-Wk28-52,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,696,670,70,33,49556,96.3,6.659133101945274e-4,6.659133101945274e-4
NATIONAL,2025-Wk28-52,EPI_DETECT_REG,Analysis,Epidemics detected at regional level from district data,proportion,145,145,15,14,19,100,73.6842105263158,73.6842105263158
NATIONAL,2025-Wk28-52,EPRP_PLAN,Preparedness,Districts with EPRP (preparedness & response) plans,proportion,688,688,348,344,356,100,96.62921348314607,96.62921348314607
NATIONAL,2025-Wk28-52,RISK_MAP,Preparedness,Districts conducting risk & resource mapping,proportion,696,475,348,229,356,68.2,64.32584269662921,64.32584269662921
NATIONAL,2025-Wk28-52,EPR_FUNDS,Preparedness,Districts with EPR funds / budget line,proportion,696,475,348,28,356,68.2,7.865168539325842,7.865168539325842
NATIONAL,2025-Wk28-52,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,696,475,348,64,356,68.2,17.97752808988764,17.97752808988764
NATIONAL,2025-Wk28-52,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,696,475,471,1118,3794,68.2,29.467580390089616,29.467580390089616
NATIONAL,2025-Wk28-52,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,696,475,467,417,2239,68.2,18.6243858865565,18.6243858865565
NATIONAL,2025-Wk28-52,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,696,475,467,222,2239,68.2,9.915140687807057,9.915140687807057
