label,Addis Ababa,Afar,Amhara,Benishangul Gumuz,Dire Dawa,Gambella,Harari,Oromia,Sidama,Somali,South Ethiopia,NATIONAL
Confirmed outbreaks among suspected events (EBS sensitivity),0,NA,NA,100,NA,0,NA,NA,NA,NA,5.882352941176471,7.8125
Outbreaks detected through event-based surveillance,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,20,55.55555555555556
Outbreaks detected within 7 days,NA,NA,NA,100,100,NA,NA,87.5,100,NA,80,92.5
Surveillance reports submitted on time (timeliness),100,85,91.3585236074628,93.21739130434784,100,83.71428571428571,100,97.77777777777776,98.07692307692308,69.8019801980198,99.67948717948718,92.89948173664774
Surveillance reports submitted completely (completeness),100,100,91.3585236074628,93.21739130434784,100,100,100,NA,99.2914979757085,59.583333333333336,99.9198717948718,94.66939712681126
Case-based reporting: elimination/eradication diseases,100,75.67567567567568,NA,54.285714285714285,96.44549763033176,NA,88.46153846153847,44.35146443514645,100,NA,100,91.48329258353708
Case-based reporting: selected events/conditions,100,75.67567567567568,NA,71.06598984771574,100,NA,6.341463414634147,8.474576271186441,62.295081967213115,100,56.507936507936506,63.95555555555555
Suspected outbreaks notified within 24 hours,NA,NA,NA,100,100,NA,0,NA,100,NA,3.0303030303030303,14.15929203539823
Immediately reportable events notified within 30 minutes,0,NA,NA,100,100,NA,NA,NA,75,NA,27.272727272727273,7.8838174273858925
Current line graph available for priority diseases,100,45,NA,0,NA,0,100,NA,39.473684210526315,50.84745762711864,37.5,56.2363238512035
Outbreak reports with analyzed case-based data,0,0,NA,17.391304347826086,NA,0,0,NA,10.526315789473683,0,10.416666666666666,3.938730853391685
Outbreaks with laboratory results within 7 days,97.22222222222224,NA,NA,100,NA,NA,NA,NA,100,NA,0,91.11111111111111
Confirmed outbreaks with response within 24-48 hours,2.7777777777777777,NA,NA,100,NA,NA,NA,NA,50,NA,100,20
Epidemics detected at regional level from district data,NA,NA,NA,0,100,NA,NA,NA,NA,NA,66.66666666666667,73.6842105263158
Districts with EPRP (preparedness & response) plans,100,100,NA,69.56521739130434,100,64.28571428571429,100,NA,100,NA,100,96.62921348314607
Districts conducting risk & resource mapping,100,0,NA,69.56521739130434,100,64.28571428571429,100,NA,100,NA,21.875,64.32584269662921
Districts with EPR funds / budget line,15.254237288135592,0,NA,0,5.555555555555555,0,0,NA,23.68421052631579,NA,0,7.865168539325842
Districts with contingency stocks (3-6 months),15.254237288135592,0,NA,0,100,0,0,NA,34.21052631578947,NA,15.625,17.97752808988764
Health facilities with PHEM officer,100,0,NA,0,0,0,0,0,0,50,0,29.467580390089616
Districts reporting weekly via DHIS2,11.270296084049663,7.723577235772358,NA,73.91304347826087,100,5.921052631578948,60,NA,23.75,31.35593220338983,100,18.6243858865565
Districts with functional coordination platform / RRT,11.0792741165234,0,NA,78.26086956521739,100,5.921052631578948,60,NA,12.5,0,33.333333333333336,9.915140687807057
