period,group,value
2025-Wk03-15,Analysis,28.943625853896684
2025-Wk03-15,Identifying,65.6030361757106
2025-Wk03-15,Laboratory,32.78923253150057
2025-Wk03-15,Preparedness,33.79389714396085
2025-Wk03-15,Reporting,77.88263334917474
2025-Wk03-15,Response,100
2025-Wk16-27,Analysis,25.529481735938113
2025-Wk16-27,Identifying,57.93455313159747
2025-Wk16-27,Laboratory,69.94356994356994
2025-Wk16-27,Preparedness,31.109433137701522
2025-Wk16-27,Reporting,75.34461246165327
2025-Wk16-27,Response,71.81467181467181
2025-Wk28-52,Analysis,30.411689226751477
2025-Wk28-52,Identifying,63.03475935828877
2025-Wk28-52,Laboratory,74.30555555555556
2025-Wk28-52,Preparedness,39.40315102679457
2025-Wk28-52,Reporting,79.31001315312139
2025-Wk28-52,Response,63.19444444444444
