period,indicator,label,target,value_pct,pct_reported
2025-Wk03-15,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),80,87.4074074074074,81.3
2025-Wk16-27,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),80,1.7543859649122806,80.4
2025-Wk28-52,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),80,7.8125,68.2
2025-Wk03-15,EBS_DETECT,Outbreaks detected through event-based surveillance,80,47.28033472803347,82.8
2025-Wk16-27,EBS_DETECT,Outbreaks detected through event-based surveillance,80,44.44444444444444,80.4
2025-Wk28-52,EBS_DETECT,Outbreaks detected through event-based surveillance,80,55.55555555555556,68.2
2025-Wk03-15,DETECT_7D,Outbreaks detected within 7 days,80,98.99352983465133,42.9
2025-Wk16-27,DETECT_7D,Outbreaks detected within 7 days,80,88.88888888888889,44.9
2025-Wk28-52,DETECT_7D,Outbreaks detected within 7 days,80,92.5,68.2
2025-Wk03-15,RPT_TIMELY,Surveillance reports submitted on time (timeliness),80,92.0605715341504,93.6
2025-Wk16-27,RPT_TIMELY,Surveillance reports submitted on time (timeliness),80,88.89651772824901,99.6
2025-Wk28-52,RPT_TIMELY,Surveillance reports submitted on time (timeliness),80,92.89948173664774,100
2025-Wk03-15,RPT_COMPLETE,Surveillance reports submitted completely (completeness),80,93.43200823595284,90.5
2025-Wk16-27,RPT_COMPLETE,Surveillance reports submitted completely (completeness),80,93.58742411450166,100
2025-Wk28-52,RPT_COMPLETE,Surveillance reports submitted completely (completeness),80,94.66939712681126,100
2025-Wk03-15,CB_ELIM,Case-based reporting: elimination/eradication diseases,80,68.6055856941933,60.9
2025-Wk16-27,CB_ELIM,Case-based reporting: elimination/eradication diseases,80,75.95112468758678,43.3
2025-Wk28-52,CB_ELIM,Case-based reporting: elimination/eradication diseases,80,91.48329258353708,68.2
2025-Wk03-15,CB_EVENTS,Case-based reporting: selected events/conditions,80,62.41012366983031,93
2025-Wk16-27,CB_EVENTS,Case-based reporting: selected events/conditions,80,59.6218020022247,79.8
2025-Wk28-52,CB_EVENTS,Case-based reporting: selected events/conditions,80,63.95555555555555,68.2
2025-Wk03-15,NOTIFY_24H,Suspected outbreaks notified within 24 hours,80,71.30177514792899,37.5
