period,region,n_unit,n_woreda_mapped,reported_any
2025-Wk03-15,Addis Ababa,5,11,TRUE
2025-Wk03-15,Afar,40,39,TRUE
2025-Wk03-15,Amhara,221,180,TRUE
2025-Wk03-15,Benishangul Gumuz,23,21,TRUE
2025-Wk03-15,Central Ethiopia,82,66,TRUE
2025-Wk03-15,Dire Dawa,18,2,TRUE
2025-Wk03-15,Gambella,14,13,TRUE
2025-Wk03-15,Harari,9,9,TRUE
2025-Wk03-15,Oromia,434,326,TRUE
2025-Wk03-15,Sidama,38,36,TRUE
2025-Wk03-15,Somali,118,97,TRUE
2025-Wk03-15,South Ethiopia,96,82,TRUE
2025-Wk03-15,Tigray,84,66,TRUE
2025-Wk16-27,Addis Ababa,15,11,TRUE
2025-Wk16-27,Afar,40,39,TRUE
2025-Wk16-27,Amhara,221,180,TRUE
2025-Wk16-27,Benishangul Gumuz,23,21,TRUE
2025-Wk16-27,Dire Dawa,18,2,TRUE
2025-Wk16-27,Gambella,14,13,TRUE
2025-Wk16-27,Harari,9,9,TRUE
2025-Wk16-27,Oromia,422,322,TRUE
2025-Wk16-27,Sidama,38,36,TRUE
2025-Wk16-27,Somali,118,97,TRUE
2025-Wk16-27,South Ethiopia,96,82,TRUE
2025-Wk28-52,Addis Ababa,15,11,TRUE
2025-Wk28-52,Afar,40,39,TRUE
2025-Wk28-52,Amhara,221,179,TRUE
2025-Wk28-52,Benishangul Gumuz,23,21,TRUE
2025-Wk28-52,Dire Dawa,18,2,TRUE
2025-Wk28-52,Gambella,14,13,TRUE
2025-Wk28-52,Harari,1,0,TRUE
2025-Wk28-52,Oromia,8,8,TRUE
2025-Wk28-52,Sidama,38,36,TRUE
2025-Wk28-52,Somali,118,97,TRUE
2025-Wk28-52,South Ethiopia,96,82,TRUE
