period,region,indicator,label,value_pct,pct_reported
2025-Wk03-15,Addis Ababa,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,100
2025-Wk03-15,Addis Ababa,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,100
2025-Wk03-15,Addis Ababa,DETECT_7D,Outbreaks detected within 7 days,NA,100
2025-Wk03-15,Addis Ababa,RPT_TIMELY,Surveillance reports submitted on time (timeliness),100,100
2025-Wk03-15,Addis Ababa,RPT_COMPLETE,Surveillance reports submitted completely (completeness),100,100
2025-Wk03-15,Addis Ababa,CB_ELIM,Case-based reporting: elimination/eradication diseases,100,100
2025-Wk03-15,Addis Ababa,CB_EVENTS,Case-based reporting: selected events/conditions,100,100
2025-Wk03-15,Addis Ababa,NOTIFY_24H,Suspected outbreaks notified within 24 hours,100,100
2025-Wk03-15,Addis Ababa,NOTIFY_30M,Immediately reportable events notified within 30 minutes,100,100
2025-Wk03-15,Addis Ababa,LINEGRAPH,Current line graph available for priority diseases,100,100
2025-Wk03-15,Addis Ababa,OBR_ANALYZED,Outbreak reports with analyzed case-based data,4.166666666666667,100
2025-Wk03-15,Addis Ababa,LAB_7D,Outbreaks with laboratory results within 7 days,100,100
2025-Wk03-15,Addis Ababa,RESP_2448,Confirmed outbreaks with response within 24-48 hours,100,100
2025-Wk03-15,Addis Ababa,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,100
2025-Wk03-15,Addis Ababa,RISK_MAP,Districts conducting risk & resource mapping,100,100
2025-Wk03-15,Addis Ababa,EPR_FUNDS,Districts with EPR funds / budget line,0,100
2025-Wk03-15,Addis Ababa,CONTINGENCY,Districts with contingency stocks (3-6 months),0,100
2025-Wk03-15,Addis Ababa,PHEM_OFFICER,Health facilities with PHEM officer,100,100
2025-Wk03-15,Addis Ababa,DHIS2_RPT,Districts reporting weekly via DHIS2,NA,100
2025-Wk03-15,Addis Ababa,COORD_PLATFORM,Districts with functional coordination platform / RRT,NA,100
2025-Wk16-27,Addis Ababa,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),0,100
2025-Wk16-27,Addis Ababa,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,100
2025-Wk16-27,Addis Ababa,DETECT_7D,Outbreaks detected within 7 days,NA,100
2025-Wk16-27,Addis Ababa,RPT_TIMELY,Surveillance reports submitted on time (timeliness),100,100
2025-Wk16-27,Addis Ababa,RPT_COMPLETE,Surveillance reports submitted completely (completeness),100,100
2025-Wk16-27,Addis Ababa,CB_ELIM,Case-based reporting: elimination/eradication diseases,100,100
2025-Wk16-27,Addis Ababa,CB_EVENTS,Case-based reporting: selected events/conditions,100,100
2025-Wk16-27,Addis Ababa,NOTIFY_24H,Suspected outbreaks notified within 24 hours,100,100
2025-Wk16-27,Addis Ababa,NOTIFY_30M,Immediately reportable events notified within 30 minutes,100,100
2025-Wk16-27,Addis Ababa,LINEGRAPH,Current line graph available for priority diseases,100,100
2025-Wk16-27,Addis Ababa,OBR_ANALYZED,Outbreak reports with analyzed case-based data,0.8333333333333334,100
2025-Wk16-27,Addis Ababa,LAB_7D,Outbreaks with laboratory results within 7 days,97.29729729729728,100
2025-Wk16-27,Addis Ababa,RESP_2448,Confirmed outbreaks with response within 24-48 hours,2.702702702702702,100
2025-Wk16-27,Addis Ababa,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,100
2025-Wk16-27,Addis Ababa,RISK_MAP,Districts conducting risk & resource mapping,100,100
2025-Wk16-27,Addis Ababa,EPR_FUNDS,Districts with EPR funds / budget line,15.126050420168069,100
2025-Wk16-27,Addis Ababa,CONTINGENCY,Districts with contingency stocks (3-6 months),15.126050420168069,100
