period,region,composite,mean_rep
2025-Wk03-15,Addis Ababa,80.3,100
2025-Wk03-15,Afar,30.8,100
2025-Wk03-15,Amhara,75,26
2025-Wk03-15,Benishangul Gumuz,59.6,100
2025-Wk03-15,Central Ethiopia,76.3,100
2025-Wk03-15,Dire Dawa,74.4,88
2025-Wk03-15,Gambella,47.9,98
2025-Wk03-15,Harari,37.9,100
2025-Wk03-15,Oromia,41.4,66
2025-Wk03-15,Sidama,48.5,100
2025-Wk03-15,Somali,45.3,100
2025-Wk03-15,South Ethiopia,45.5,100
2025-Wk03-15,Tigray,42.2,45
2025-Wk16-27,Addis Ababa,64.1,100
2025-Wk16-27,Afar,35.7,100
2025-Wk16-27,Amhara,89.5,15
2025-Wk16-27,Benishangul Gumuz,59.2,100
2025-Wk16-27,Dire Dawa,79.1,88
2025-Wk16-27,Gambella,28.3,100
2025-Wk16-27,Harari,45.2,100
2025-Wk16-27,Oromia,64.3,67
2025-Wk16-27,Sidama,41.8,100
2025-Wk16-27,Somali,45.3,100
2025-Wk16-27,South Ethiopia,39.9,100
2025-Wk28-52,Addis Ababa,56.1,100
2025-Wk28-52,Afar,37.6,100
2025-Wk28-52,Amhara,91.4,15
2025-Wk28-52,Benishangul Gumuz,62.9,100
2025-Wk28-52,Dire Dawa,86.8,90
2025-Wk28-52,Gambella,27,100
2025-Wk28-52,Harari,51.1,100
2025-Wk28-52,Oromia,47.6,79
2025-Wk28-52,Sidama,62.7,100
2025-Wk28-52,Somali,45.2,100
2025-Wk28-52,South Ethiopia,46.6,100
