region,zone,reported_woreda,category,proposed_ref_woreda,score,confidence,approved_ref_woreda
Dire Dawa,NA,Addis ketema PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Biyoawale PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Boren /Industry/ PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Dechatu PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Dire Dawa PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Dr Abel MM (Gende kore )PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Gende Gerada PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Gende kore PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Goro PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Jeldesa /Qelad/ PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Jelo Belina PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Kalich PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Legehare PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Legoda gudenfeta PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Melka Jebdu PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Melka kero PHCU,facility (needs facility->woreda list),NA,NA,NA,
Dire Dawa,NA,Wahil PHCU,facility (needs facility->woreda list),NA,NA,NA,
Oromia,Shagger City,Shagger City,new city not in 2021 shapefile,NA,NA,NA,
Tigray,Central,Chilla,woreda name variant,Chila,0.83,HIGH - likely correct,
Tigray,NA,Endamakhoni,woreda name variant,Endamehoni,0.82,HIGH - likely correct,
Tigray,NA,Keyih Tekli,woreda name variant,Keyhe tekli,0.82,HIGH - likely correct,
Tigray,NA,Tahatay Maichew,woreda name variant,Tahtay Mayechew,0.8,HIGH - likely correct,
Tigray,NA,Kleate Awlaelo,woreda name variant,Kelete Awelallo,0.73,MEDIUM - check,
Tigray,NA,E/selassie Town,woreda name variant,Indasilassie town,0.71,MEDIUM - check,
Tigray,NA,Adigudom Town,woreda name variant,Adigrat town,0.69,MEDIUM - check,
Tigray,Northwest,Shire Town,woreda name variant,Sheraro town,0.67,MEDIUM - check,
Tigray,NA,Maekel Adiyabo,woreda name variant,Tahtay Adiyabo,0.64,MEDIUM - check,
Tigray,NA,Laelay Tselemti,woreda name variant,Tselemti,0.53,LOW - do not assume,
Tigray,NA,Mytsebri,woreda name variant,May Tsebri town,0.53,LOW - do not assume,
Tigray,NA,Rama adi-4,woreda name variant,Raya Azebo,0.5,LOW - do not assume,
Tigray,NA,Tsrea Wenberta,woreda name variant,Tsaeda Emba,0.5,LOW - do not assume,
Tigray,NA,Endabatshama,woreda name variant,Endabaguna town,0.47,LOW - do not assume,
Tigray,NA,Maiknetal,woreda name variant,Hintalo,0.44,LOW - do not assume,
Tigray,NA,Kedamay Woyane,woreda name variant,Tahtay Koraro,0.36,LOW - do not assume,
Tigray,NA,Subha Sasea,woreda name variant,Ahsea,0.36,LOW - do not assume,
