region,zone,woreda,adm3_pcode,adm3_en,adm1_en,adm2_en,score,method,needs_review
Addis Ababa,Addis Ketema,1,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,10,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,11,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,12,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,13,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,14,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,3,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,4,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,5,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,6,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,8,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis Ketema,9,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Addis ketema,12,ET140108,Addis Ketema,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Akaki Kality,1,ET140101,Akaki Kality,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Akaki Kality,10,ET140101,Akaki Kality,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Akaki Kality,12,ET140101,Akaki Kality,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Akaki Kality,13,ET140101,Akaki Kality,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Akaki Kality,2,ET140101,Akaki Kality,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Akaki Kality,3,ET140101,Akaki Kality,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Akaki Kality,4,ET140101,Akaki Kality,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Akaki Kality,5,ET140101,Akaki Kality,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Akaki Kality,6,ET140101,Akaki Kality,Addis Ababa,Region 14,1,addis_subcity,FALSE
