order,code,group,value_type,label,pattern,target
1,EBS_PPV,Identifying,proportion,Confirmed outbreaks among suspected events (EBS sensitivity),confirmed outbreaks among suspected,80
2,EBS_DETECT,Identifying,proportion,Outbreaks detected through event-based surveillance,outbreaks detected through event-based,80
3,DETECT_7D,Identifying,proportion,Outbreaks detected within 7 days,outbreaks detected within 7 days,80
4,RPT_TIMELY,Reporting,proportion,Surveillance reports submitted on time (timeliness),submitted surveillance reports(?!.*complet)(?!.*through dhis),80
5,RPT_COMPLETE,Reporting,proportion,Surveillance reports submitted completely (completeness),submitted surveillance reports +complet|submitted.*surveillance reports.*complet,80
6,CB_ELIM,Reporting,proportion,Case-based reporting: elimination/eradication diseases,cases of diseases targeted for elimination,80
7,CB_EVENTS,Reporting,proportion,Case-based reporting: selected events/conditions,events or conditions selected for case-based,80
8,NOTIFY_24H,Reporting,proportion,Suspected outbreaks notified within 24 hours,within 24 hours of surpassing,80
9,NOTIFY_30M,Reporting,proportion,Immediately reportable events notified within 30 minutes,within 30 minutes of surpassing,80
10,LINEGRAPH,Analysis,proportion,Current line graph available for priority diseases,line graph is available,80
11,OBR_ANALYZED,Analysis,proportion,Outbreak reports with analyzed case-based data,investigated outbreaks that include analyzed,80
12,LAB_7D,Laboratory,proportion,Outbreaks with laboratory results within 7 days,laboratory results within 7 days,80
13,RESP_2448,Response,proportion,Confirmed outbreaks with response within 24-48 hours,public health response within 24 to 48,80
14,ATTACK_RATE,Response,rate,Attack rate per outbreak (per population at risk),attack rate for each outbreak,NA
15,CFR,Response,rate,Case-fatality rate per epidemic-prone disease,case-?fatality rate,NA
16,EPI_DETECT_REG,Analysis,proportion,Epidemics detected at regional level from district data,epidemics detected by the regional,80
17,EPRP_PLAN,Preparedness,proportion,Districts with EPRP (preparedness & response) plans,eprp|epr plan,80
18,RISK_MAP,Preparedness,proportion,Districts conducting risk & resource mapping,resources mapping|risk.*mapping,80
19,EPR_FUNDS,Preparedness,proportion,Districts with EPR funds / budget line,funds for emergency preparedness|budget,80
20,CONTINGENCY,Preparedness,proportion,Districts with contingency stocks (3-6 months),contingency stocks,80
21,PHEM_OFFICER,Preparedness,proportion,Health facilities with PHEM officer,with phem officer,80
22,DHIS2_RPT,Preparedness,proportion,Districts reporting weekly via DHIS2,through dhis ?-?2|dhis2,80
23,COORD_PLATFORM,Preparedness,proportion,Districts with functional coordination platform / RRT,coordination platform,80
