region,period,indicator,group,label,value_type,n_woreda,n_reported,n_pairs,num_sum,denom_sum,pct_reported,value_pct,value_pct_capped
NATIONAL,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,1198,974,114,118,135,81.3,87.4074074074074,87.4074074074074
NATIONAL,2025-Wk16-27,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,1127,906,28,1,57,80.4,1.7543859649122806,1.7543859649122806
NATIONAL,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,696,475,32,5,64,68.2,7.8125,7.8125
NATIONAL,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,1198,992,223,113,239,82.8,47.28033472803347,47.28033472803347
NATIONAL,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,1127,906,9,4,9,80.4,44.44444444444444,44.44444444444444
NATIONAL,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,696,475,7,5,9,68.2,55.55555555555556,55.55555555555556
NATIONAL,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,1198,514,194,1377,1391,42.9,98.99352983465133,98.99352983465133
NATIONAL,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,1127,506,45,40,45,44.9,88.88888888888889,88.88888888888889
NATIONAL,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,696,475,33,37,40,68.2,92.5,92.5
NATIONAL,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,1198,1121,1108,9198.692307692309,9992,93.6,92.06057153415041,92.06057153415041
NATIONAL,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,1127,1123,1089,8415.833333333334,9467,99.6,88.89651772824901,88.89651772824901
NATIONAL,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,696,696,677,9978.333333333334,10741,100,92.89948173664774,92.89948173664774
NATIONAL,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,754,682,674,7958.538461538462,8518,90.5,93.43200823595284,93.43200823595284
NATIONAL,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,697,697,687,7759.333333333333,8291,100,93.58742411450166,93.58742411450166
NATIONAL,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,688,688,679,10170.333333333334,10743,100,94.66939712681126,94.66939712681126
NATIONAL,2025-Wk03-15,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,1198,729,180,6829,9954,60.9,68.6055856941933,68.6055856941933
NATIONAL,2025-Wk16-27,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,1127,488,117,2735,3601,43.3,75.95112468758678,75.95112468758678
NATIONAL,2025-Wk28-52,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,696,475,106,2245,2454,68.2,91.48329258353708,91.48329258353708
NATIONAL,2025-Wk03-15,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,1198,1114,250,2170,3477,93,62.41012366983031,62.41012366983031
NATIONAL,2025-Wk16-27,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,1127,899,256,1608,2697,79.8,59.6218020022247,59.6218020022247
NATIONAL,2025-Wk28-52,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,696,475,140,1439,2250,68.2,63.955555555555556,63.955555555555556
NATIONAL,2025-Wk03-15,NOTIFY_24H,Reporting,Suspected outbreaks notified within 24 hours,proportion,1198,449,220,241,338,37.5,71.30177514792899,71.30177514792899
NATIONAL,2025-Wk16-27,NOTIFY_24H,Reporting,Suspected outbreaks notified within 24 hours,proportion,1127,502,197,160,264,44.5,60.60606060606061,60.60606060606061
NATIONAL,2025-Wk28-52,NOTIFY_24H,Reporting,Suspected outbreaks notified within 24 hours,proportion,696,467,110,16,113,67.1,14.15929203539823,14.15929203539823
NATIONAL,2025-Wk03-15,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,1198,449,124,229,245,37.5,93.46938775510205,93.46938775510205
NATIONAL,2025-Wk16-27,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,1127,502,108,257,283,44.5,90.81272084805654,90.81272084805654
NATIONAL,2025-Wk28-52,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,696,467,80,19,241,67.1,7.8838174273858925,7.8838174273858925
NATIONAL,2025-Wk03-15,LINEGRAPH,Analysis,Current line graph available for priority diseases,proportion,1198,882,443,340,578,73.6,58.8235294117647,58.8235294117647
NATIONAL,2025-Wk16-27,LINEGRAPH,Analysis,Current line graph available for priority diseases,proportion,1127,883,464,268,502,78.3,53.386454183266935,53.386454183266935
NATIONAL,2025-Wk28-52,LINEGRAPH,Analysis,Current line graph available for priority diseases,proportion,696,457,449,257,457,65.7,56.2363238512035,56.2363238512035
NATIONAL,2025-Wk03-15,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,1198,905,477,96,772,75.5,12.435233160621761,12.435233160621761
NATIONAL,2025-Wk16-27,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,1127,903,478,36,559,80.1,6.440071556350627,6.440071556350627
NATIONAL,2025-Wk28-52,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,696,475,449,18,457,68.2,3.938730853391685,3.938730853391685
NATIONAL,2025-Wk03-15,LAB_7D,Laboratory,Outbreaks with laboratory results within 7 days,proportion,1198,431,121,94,138,36,68.1159420289855,68.1159420289855
NATIONAL,2025-Wk16-27,LAB_7D,Laboratory,Outbreaks with laboratory results within 7 days,proportion,1127,480,68,68,81,42.6,83.95061728395062,83.95061728395062
NATIONAL,2025-Wk28-52,LAB_7D,Laboratory,Outbreaks with laboratory results within 7 days,proportion,696,449,39,41,45,64.5,91.11111111111111,91.11111111111111
NATIONAL,2025-Wk03-15,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,1198,449,121,138,138,37.5,100,100
NATIONAL,2025-Wk16-27,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,1127,502,68,44,81,44.5,54.32098765432099,54.32098765432099
NATIONAL,2025-Wk28-52,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,696,467,39,9,45,67.1,20,20
NATIONAL,2025-Wk03-15,ATTACK_RATE,Response,Attack rate per outbreak (per population at risk),rate,977,475,270,73218,28564500.35429604,48.6,0.002563251556717258,0.002563251556717258
NATIONAL,2025-Wk16-27,ATTACK_RATE,Response,Attack rate per outbreak (per population at risk),rate,906,523,291,1712,21853191.98761624,57.7,7.834095819824196e-5,7.834095819824196e-5
NATIONAL,2025-Wk28-52,ATTACK_RATE,Response,Attack rate per outbreak (per population at risk),rate,475,457,263,990,19428827.373202085,96.2,5.0955211088317835e-5,5.0955211088317835e-5
NATIONAL,2025-Wk03-15,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,1198,702,197,67,75809,58.6,8.838000765080663e-4,8.838000765080663e-4
NATIONAL,2025-Wk16-27,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,1127,711,101,17,2367.24,63.1,0.0071813588820736395,0.0071813588820736395
NATIONAL,2025-Wk28-52,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,696,670,70,33,49556,96.3,6.659133101945274e-4,6.659133101945274e-4
NATIONAL,2025-Wk03-15,EPI_DETECT_REG,Analysis,Epidemics detected at regional level from district data,proportion,747,662,114,6,129,88.6,4.651162790697675,4.651162790697675
