region,period,indicator,group,label,value_type,n_woreda,n_reported,n_pairs,num_sum,denom_sum,pct_reported,value_pct,value_pct_capped
Addis Ababa,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,11,11,0,0,0,100,NA,NA
Addis Ababa,2025-Wk16-27,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,120,120,15,0,42,100,0,0
Addis Ababa,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,119,119,15,0,42,100,0,0
Afar,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,40,40,0,0,0,100,NA,NA
Afar,2025-Wk16-27,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,40,40,0,0,0,100,NA,NA
Afar,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,40,40,0,0,0,100,NA,NA
Amhara,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,221,0,0,0,0,0,NA,NA
Amhara,2025-Wk16-27,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,221,0,0,0,0,0,NA,NA
Amhara,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,221,0,0,0,0,0,NA,NA
Benishangul Gumuz,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,23,23,11,14,14,100,100,100
Benishangul Gumuz,2025-Wk16-27,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,23,23,1,1,1,100,100,100
Benishangul Gumuz,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,23,23,4,4,4,100,100,100
Central Ethiopia,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,82,82,82,97,97,100,100,100
Dire Dawa,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,18,18,0,0,0,100,NA,NA
Dire Dawa,2025-Wk16-27,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,18,18,0,0,0,100,NA,NA
Dire Dawa,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,18,18,0,0,0,100,NA,NA
Gambella,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,14,14,1,1,1,100,100,100
Gambella,2025-Wk16-27,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,14,14,0,0,0,100,NA,NA
Gambella,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,14,14,1,0,1,100,0,0
Harari,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,9,9,9,3,9,100,33.333333333333336,33.333333333333336
Harari,2025-Wk16-27,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,9,9,3,0,3,100,0,0
Harari,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,1,1,0,0,0,100,NA,NA
Oromia,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,444,444,0,0,0,100,NA,NA
Oromia,2025-Wk16-27,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,430,430,0,0,0,100,NA,NA
Oromia,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,8,8,0,0,0,100,NA,NA
Sidama,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,38,38,0,0,0,100,NA,NA
Sidama,2025-Wk16-27,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,38,38,0,0,0,100,NA,NA
Sidama,2025-Wk28-52,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,38,38,0,0,0,100,NA,NA
Somali,2025-Wk03-15,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,118,118,0,0,0,100,NA,NA
