region,zone,woreda,adm3_pcode,population,population_best,period,EBS_PPV,EBS_DETECT,DETECT_7D,RPT_TIMELY,RPT_COMPLETE,CB_ELIM,CB_EVENTS,NOTIFY_24H,NOTIFY_30M,LINEGRAPH,OBR_ANALYZED,LAB_7D,RESP_2448,ATTACK_RATE,CFR,EPRP_PLAN,RISK_MAP,EPR_FUNDS,CONTINGENCY,PHEM_OFFICER,DHIS2_RPT,COORD_PLATFORM,EPI_DETECT_REG
Addis Ababa,Addis Ketema,1,ET140108,NA,359910.8959545385,2025-Wk16-27,0,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,14.3,14.3,NA
Addis Ababa,Addis Ketema,1,ET140108,NA,359910.8959545385,2025-Wk28-52,0,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,14.3,14.3,NA
Addis Ababa,Addis Ketema,10,ET140108,NA,359910.8959545385,2025-Wk16-27,NA,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,16.7,16.7,NA
Addis Ababa,Addis Ketema,10,ET140108,NA,359910.8959545385,2025-Wk28-52,NA,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,16.7,16.7,NA
Addis Ababa,Addis Ketema,11,ET140108,NA,359910.8959545385,2025-Wk16-27,NA,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,16.7,16.7,NA
Addis Ababa,Addis Ketema,11,ET140108,NA,359910.8959545385,2025-Wk28-52,NA,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,16.7,16.7,NA
Addis Ababa,Addis Ketema,12,ET140108,NA,359910.8959545385,2025-Wk16-27,0,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,8.3,8.3,NA
Addis Ababa,Addis Ketema,12,ET140108,NA,359910.8959545385,2025-Wk28-52,0,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,8.3,8.3,NA
Addis Ababa,Addis Ketema,13,ET140108,NA,359910.8959545385,2025-Wk16-27,NA,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,14.3,14.3,NA
Addis Ababa,Addis Ketema,13,ET140108,NA,359910.8959545385,2025-Wk28-52,NA,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,14.3,14.3,NA
Addis Ababa,Addis Ketema,14,ET140108,NA,359910.8959545385,2025-Wk16-27,NA,NA,NA,100,100,NA,NA,NA,NA,100,0,NA,NA,NA,NA,100,100,0,0,100,9.1,9.1,NA
Addis Ababa,Addis Ketema,14,ET140108,NA,359910.8959545385,2025-Wk28-52,NA,NA,NA,100,100,NA,NA,NA,NA,100,0,NA,NA,NA,NA,100,100,0,0,100,9.1,9.1,NA
Addis Ababa,Addis Ketema,3,ET140108,NA,359910.8959545385,2025-Wk16-27,0,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,11.1,11.1,NA
Addis Ababa,Addis Ketema,3,ET140108,NA,359910.8959545385,2025-Wk28-52,0,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,11.1,11.1,NA
Addis Ababa,Addis Ketema,4,ET140108,NA,359910.8959545385,2025-Wk16-27,NA,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,14.3,14.3,NA
Addis Ababa,Addis Ketema,4,ET140108,NA,359910.8959545385,2025-Wk28-52,NA,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,14.3,14.3,NA
Addis Ababa,Addis Ketema,5,ET140108,NA,359910.8959545385,2025-Wk16-27,NA,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,14.3,14.3,NA
Addis Ababa,Addis Ketema,5,ET140108,NA,359910.8959545385,2025-Wk28-52,NA,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,14.3,14.3,NA
Addis Ababa,Addis Ketema,6,ET140108,NA,359910.8959545385,2025-Wk16-27,NA,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,12.5,12.5,NA
Addis Ababa,Addis Ketema,6,ET140108,NA,359910.8959545385,2025-Wk28-52,NA,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,12.5,12.5,NA
Addis Ababa,Addis Ketema,8,ET140108,NA,359910.8959545385,2025-Wk16-27,NA,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,12.5,12.5,NA
Addis Ababa,Addis Ketema,8,ET140108,NA,359910.8959545385,2025-Wk28-52,NA,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,12.5,12.5,NA
Addis Ababa,Addis Ketema,9,ET140108,NA,359910.8959545385,2025-Wk16-27,0,NA,NA,100,100,100,100,100,100,100,0,NA,NA,NA,NA,100,100,0,0,100,12.5,12.5,NA
Addis Ababa,Addis Ketema,9,ET140108,NA,359910.8959545385,2025-Wk28-52,0,NA,NA,100,100,100,100,NA,0,100,0,NA,NA,NA,NA,100,100,0,0,100,12.5,12.5,NA
Addis Ababa,Addis ketema,12,ET140108,NA,359910.8959545385,2025-Wk03-15,0,0,0,100,100,100,100,100,100,100,0,100,100,NA,NA,100,100,0,0,100,857.1,857.1,NA
