adm3_pcode,adm3_en,ref_region,population_best
ET010101,Tahtay Adiyabo,Tigray,76870.42084975695
ET010103,Zana,Tigray,74901.19255946318
ET010104,Tahtay Koraro,Tigray,92971.57231149611
ET010105,Asgede,Tigray,96011.19353136163
ET010106,Tselemti,Tigray,238138
ET010107,Sheraro town,Tigray,32048.63786180923
ET010109,Selekleka,Tigray,81842.43284513254
ET010110,Seyemti Adyabo,Tigray,117044.36197242553
ET010111,Adi Daero,Tigray,22243.54392681367
ET010113,Tsimbla,Tigray,90590.81635604742
ET010114,Endabaguna town,Tigray,22697.17160886424
ET010116,May Tsebri town,Tigray,22268
ET010201,Chila,Tigray,72455.18157782625
ET010202,Aheferom,Tigray,107710.7882266612
ET010205,Laelay Maychew,Tigray,88920.49818571273
ET010206,Tahtay Mayechew,Tigray,90446.62379817985
ET010207,Adet,Tigray,100566.41535947035
ET010208,Kola Temben,Tigray,90405.5762817066
ET010209,Naeder,Tigray,61662.84224662783
ET010210,Abergele (TG),Tigray,88239.53041242568
ET010211,Abi Adi town,Tigray,35759.75435116028
ET010212,Adwa town,Tigray,87120.72246342394
ET010213,Axum town,Tigray,83850.60365105477
ET010215,Ahsea,Tigray,47004.66886398687
ET010216,Egela,Tigray,45702.725841489075
ET010217,Hahayle,Tigray,71751.05879524662
ET010219,Emba Sieneti,Tigray,48431.85943674922
ET010220,Enticho town,Tigray,15794.873838823354
ET010221,Keyhe tekli,Tigray,80474.18229602408
ET010222,Tanqua Melashe,Tigray,57766.485682935956
ET010301,Gulo Mekeda,Tigray,108191.78091969392
ET010302,Erob,Tigray,33280.06335600682
ET010304,Ganta Afeshum,Tigray,89543.57843576827
ET010305,Hawzen,Tigray,112806.99527187894
ET010307,Atsbi,Tigray,94210.36530865043
ET010308,Adigrat town,Tigray,80100.54464607526
ET010309,Wukro town,Tigray,42029.499367344106
ET010310,Bizet,Tigray,31616.060188206484
ET010311,Edaga Hamus town,Tigray,15578.058751810786
ET010312,Hawzen town,Tigray,NA
ET010313,Freweyni town,Tigray,30522.512249342122
ET010314,Tsaeda Emba,Tigray,85090.4491486315
ET010317,Geraleta,Tigray,36837.51478368877
ET010318,Zala Anbesa town,Tigray,9874.558962873374
ET010401,Selewa,Tigray,32305.447964872663
ET010403,Neqsege,Tigray,29103.74167995891
ET010404,Emba Alaje,Tigray,64765.61349183681
ET010405,Endamehoni,Tigray,79318.53683223866
ET010406,Raya Azebo,Tigray,110465.18183205872
ET010407,Raya Alamata,Tigray,155153
ET010408,Ofla,Tigray,133276
ET010409,Maichew town,Tigray,43945.05013609593
ET010410,Korem town,Tigray,39595
ET010411,Alamata town,Tigray,118551
ET010412,Mekhoni town,Tigray,19217.605212439237
ET010413,Zata,Tigray,49506.46236801054
ET010414,Chercher,Tigray,110465.18183205872
ET010501,Kafta Humera,Tigray,137181
ET010502,Welkait,Tigray,299058
ET010503,Tsegede (TG),Tigray,157539
ET010504,Setit Humera,Tigray,21347
ET010506,Dansha town,Tigray,23678
ET010507,Awra (TG),Tigray,39513
ET010601,Saharti,Tigray,90908.67148360955
ET010602,Enderta,Tigray,167129.69957275118
ET010603,Hintalo,Tigray,115100.39369226915
ET010604,Degua Temben,Tigray,74380.20485037958
ET010605,Hagere Selam town,Tigray,24193.827209504398
ET010606,Samre,Tigray,77093.55093930387
ET010608,Wajirat,Tigray,59068.42870543375
ET010701,Mekelle,Tigray,50302.51543990978
ET020101,Dubti,Afar,53439.42268001081
ET020102,Elidar,Afar,107245.61720073709
ET020103,Asayita,Afar,39895.24059846661
ET020104,Afambo,Afar,32268.750153149093
ET020105,Mile,Afar,124075.68922644645
ET020106,Chifra,Afar,121802.37270109734
ET020107,Dubti town,Afar,34065.398986609805
ET020108,Kori,Afar,64898.591443831814
ET020109,Adar,Afar,71948.86242137582
ET020110,Gerani,Afar,53590.37734202527
ET020111,Asayita town,Afar,23241.61358680193
