region,zone,woreda,ADM3_PCODE
Tigray,North Western,Tahtay Adiyabo,ET010101
Tigray,North Western,Laelay Adiabo,ET010102
Tigray,North Western,Zana,ET010103
Tigray,North Western,Tahtay Koraro,ET010104
Tigray,North Western,Asgede,ET010105
Tigray,North Western,Tselemti,ET010106
Tigray,North Western,Sheraro town,ET010107
Tigray,North Western,Indasilassie town,ET010108
Tigray,North Western,Selekleka,ET010109
Tigray,North Western,Seyemti Adyabo,ET010110
Tigray,North Western,Adi Daero,ET010111
Tigray,North Western,Adi Hageray,ET010112
Tigray,North Western,Tsimbla,ET010113
Tigray,North Western,Endabaguna town,ET010114
Tigray,North Western,Dima (TG),ET010115
Tigray,North Western,May Tsebri town,ET010116
Tigray,Central,Chila,ET010201
Tigray,Central,Aheferom,ET010202
Tigray,Central,Edaga arbi,ET010203
Tigray,Central,Adwa,ET010204
Tigray,Central,Laelay Maychew,ET010205
Tigray,Central,Tahtay Mayechew,ET010206
Tigray,Central,Adet,ET010207
Tigray,Central,Kola Temben,ET010208
Tigray,Central,Naeder,ET010209
Tigray,Central,Abergele (TG),ET010210
Tigray,Central,Abi Adi town,ET010211
Tigray,Central,Adwa town,ET010212
Tigray,Central,Axum town,ET010213
Tigray,Central,Rama,ET010214
Tigray,Central,Ahsea,ET010215
Tigray,Central,Egela,ET010216
Tigray,Central,Hahayle,ET010217
Tigray,Central,Endafelasi,ET010218
Tigray,Central,Emba Sieneti,ET010219
Tigray,Central,Enticho town,ET010220
Tigray,Central,Keyhe tekli,ET010221
Tigray,Central,Tanqua Melashe,ET010222
Tigray,Eastern,Gulo Mekeda,ET010301
Tigray,Eastern,Erob,ET010302
Tigray,Eastern,Saesie,ET010303
Tigray,Eastern,Ganta Afeshum,ET010304
Tigray,Eastern,Hawzen,ET010305
Tigray,Eastern,Kelete Awelallo,ET010306
Tigray,Eastern,Atsbi,ET010307
Tigray,Eastern,Adigrat town,ET010308
Tigray,Eastern,Wukro town,ET010309
Tigray,Eastern,Bizet,ET010310
Tigray,Eastern,Edaga Hamus town,ET010311
Tigray,Eastern,Hawzen town,ET010312
Tigray,Eastern,Freweyni town,ET010313
Tigray,Eastern,Tsaeda Emba,ET010314
Tigray,Eastern,Atsbi town,ET010315
Tigray,Eastern,Agulae,ET010316
Tigray,Eastern,Geraleta,ET010317
Tigray,Eastern,Zala Anbesa town,ET010318
Tigray,Southern,Selewa,ET010401
Tigray,Southern,Bora (TG),ET010402
Tigray,Southern,Neqsege,ET010403
Tigray,Southern,Emba Alaje,ET010404
Tigray,Southern,Endamehoni,ET010405
Tigray,Southern,Raya Azebo,ET010406
Tigray,Southern,Raya Alamata,ET010407
Tigray,Southern,Ofla,ET010408
Tigray,Southern,Maichew town,ET010409
Tigray,Southern,Korem town,ET010410
Tigray,Southern,Alamata town,ET010411
Tigray,Southern,Mekhoni town,ET010412
Tigray,Southern,Zata,ET010413
Tigray,Southern,Chercher,ET010414
Tigray,Western,Kafta Humera,ET010501
Tigray,Western,Welkait,ET010502
Tigray,Western,Tsegede (TG),ET010503
Tigray,Western,Setit Humera,ET010504
Tigray,Western,May Kadra,ET010505
Tigray,Western,Dansha town,ET010506
Tigray,Western,Awra (TG),ET010507
Tigray,Western,Korarit,ET010508
Tigray,Western,May Gaba,ET010509
Tigray,South Eastern,Saharti,ET010601
Tigray,South Eastern,Enderta,ET010602
