S.N,Region,Zone,Woreda,ADM3_PCODE,Population,Reporting_period,1_EBS_PPV_Num,1_EBS_PPV_Denom,2_EBS_DETECT_Num,2_EBS_DETECT_Denom,3_DETECT_7D_Num,3_DETECT_7D_Denom,4_RPT_TIMELY_Num,4_RPT_TIMELY_Denom,5_RPT_COMPLETE_Num,5_RPT_COMPLETE_Denom,6_CB_ELIM_Num,6_CB_ELIM_Denom,7_CB_EVENTS_Num,7_CB_EVENTS_Denom,8_NOTIFY_24H_Num,8_NOTIFY_24H_Denom,9_NOTIFY_30M_Num,9_NOTIFY_30M_Denom,10_LINEGRAPH_Num,10_LINEGRAPH_Denom,11_OBR_ANALYZED_Num,11_OBR_ANALYZED_Denom,12_LAB_7D_Num,12_LAB_7D_Denom,13_RESP_2448_Num,13_RESP_2448_Denom,14_ATTACK_RATE_Num,14_ATTACK_RATE_Denom,15_CFR_Num,15_CFR_Denom,16_EPI_DETECT_REG_Num,16_EPI_DETECT_REG_Denom,17_EPRP_PLAN_Num,17_EPRP_PLAN_Denom,18_RISK_MAP_Num,18_RISK_MAP_Denom,19_EPR_FUNDS_Num,19_EPR_FUNDS_Denom,20_CONTINGENCY_Num,20_CONTINGENCY_Denom,21_PHEM_OFFICER_Num,21_PHEM_OFFICER_Denom,22_DHIS2_RPT_Num,22_DHIS2_RPT_Denom,23_COORD_PLATFORM_Num,23_COORD_PLATFORM_Denom
1,Southern Ethiopi,Alle,Alle Special,ET071205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Southern Ethiopi,Amaro,Amaro,ET072102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Southern Ethiopi,Basketo,Basketo SP Woreda,ET071601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Southern Ethiopi,Burji,Burji Special,ET072203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Southern Ethiopi,Derashe,Derashe Special,ET072304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Southern Ethiopi,Gamo,Arba Minch Zuria,ET071015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Southern Ethiopi,Gamo,Arba Minch town,ET071021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Southern Ethiopi,Gamo,Bonke,ET071014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Southern Ethiopi,Gamo,Boreda,ET071004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Southern Ethiopi,Gamo,Chencha,ET071010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Southern Ethiopi,Gamo,Chencha Zuriya,ET071006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Southern Ethiopi,Gamo,Daramalo,ET071009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Southern Ethiopi,Gamo,Dita,ET071008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Southern Ethiopi,Gamo,Ezo /Kogota,ET071007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Southern Ethiopi,Gamo,Gacho Baba,ET071016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Southern Ethiopi,Gamo,Garda Marta,ET071018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Southern Ethiopi,Gamo,Gerese,ET071013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Southern Ethiopi,Gamo,Kemba,ET071011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Southern Ethiopi,Gamo,Kemba town,ET071012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Southern Ethiopi,Gamo,Kucha,ET071019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Southern Ethiopi,Gamo,Kucha Alpha,ET071017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
