order,code,group,label,value_type,target,numerator,denominator
1,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,80,Number of confirmed outbreaks through event-based surveillance system in the district,Total number of suspected events detected through event-based surveillance system in the district
2,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,80,Number of confirmed outbreaks detected by event-based surveillance system in the district,Total number of confirmed outbreaks during the reporting period
3,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,80,Number of outbreaks detected within 7 days,Total number of confirmed outbreaks during the reporting period
4,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,80,Number of district  that submitted surveillance reports on time,Total number of  district
5,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,80,Number of district submitted completely  surveillance reports,Number of expected district to submit surveillance reports  completely
6,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,80,"Number of cases of diseases targeted for elimination, eradication, and any diseases selected for case-based surveillance reported with case-based forms or line list","Total number of cases of diseases targeted for elimination, eradication and any other disease selected for case- based surveillance"
7,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,80,Number of cases of events or conditions selected for case-based surveillance reported with case-based forms,Total number of cases of events or conditions selected for case-based surveillance that occurred in the district
8,NOTIFY_24H,Reporting,Suspected outbreaks notified within 24 hours,proportion,80,Number of suspected outbreaks of epidemic prone diseases notified the region within 24 hours of surpassing the alert,Total number of suspected outbreaks of epidemic prone diseases in district
9,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,80,Number of suspected outbreaks of epidemic prone (immediately reportable events) diseases notified the district within 30 minutes of surpassing the alert,Total number of suspected outbreaks of epidemic prone (immediately reportable events) diseases in the district
10,LINEGRAPH,Analysis,Current line graph available for priority diseases,proportion,80,Number of district  for which a current line graph is available in the district–measles,total Number of  district
11,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,80,Number of outbreak investigation reports,total Number of  district
12,LAB_7D,Laboratory,Outbreaks with laboratory results within 7 days,proportion,80,Number of investigated outbreaks with laboratory results within 7 days of notification,Total number of outbreaks investigated that occurred in a given time period
13,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,80,Number of confirmed outbreaks,Total number of outbreaks investigated that occurred in a given time period
14,ATTACK_RATE,Response,Attack rate per outbreak (per population at risk),rate,NA,Number of populations at risk during the outbreak,Total number of outbreaks investigated that occurred in a given time period
15,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,NA,Number of cases of the same epidemic-prone diseases,Total number of outbreaks investigated that occurred in a given time period
16,EPI_DETECT_REG,Analysis,Epidemics detected at regional level from district data,proportion,80,Number of epidemics detected by the regional  from analyzing district-specific data,Total Number of epidemics in the district
17,EPRP_PLAN,Preparedness,Districts with EPRP (preparedness & response) plans,proportion,80,Number of districts/ provinces with EPR plan,Total number  of  district
18,RISK_MAP,Preparedness,Districts conducting risk & resource mapping,proportion,80,Number of districts that reported having conducted public health risks and resources mapping,Total number  of  district
19,EPR_FUNDS,Preparedness,Districts with EPR funds / budget line,proportion,80,Number of districts with budgets/budget line,Total number  of  district
20,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,80,Number of districts with contingency stocks (3-6 month),Total number  of  district
21,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,80,Number of HFs with PHEM officer  based on the standard,Total number of  district
22,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,80,Number of Districits  with functional DHIS-2 for PHEM data reporting,Total number of  district
23,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,80,Number of Disticts which have functional coordination platforms ( task force or RRT) which meet routinely based on the TOR,Total number of  district
